Date        Time           Comments
Oct 25      2000  2300     dealing with permissions, init scripts etc. for submission
Oct 25      1930  2000     better response viewing
Oct 25      1900  1930     account deletion
Oct 25      1800  1830     refined bleet deletion
Oct 25      1430  1530     account suspension, notifications mark III
Oct 25      1230  1430     email notifications mark II
Oct 25      1130  1230     fporgot password / verify password
Oct 25      0930  1130     email notifications
Oct 25      0830  0930     added pagination
Oct 24      2300  2330     basic bleat deletion
Oct 24      2200  2300     user highlighting, and hash tag highlighting
Oct 24      2000  2200     Refined bleat only page, including replies to bleat
Oct 24      1200  1300     Added maps / location stuff
Oct 24      0900  1000     Tweet insertion with file uploads
Oct 24      0000  0200     Create new users / update user settings / set profile pictures and background pictures
Oct 22      1700  1800     Implemented tweet pages
Oct 22      1600  1700     Implemented user pages 
Oct 19      1000  1100     Implemented user searching
Oct 18      2300  2400     Implemented basic tweet searching
Oct 16      2200  2300     Moved pages into components, added page for search results
Oct 14      1830  1900     Fixed bugs with cookie auth
Oct 13      2300  2400     Modified teplates to allow references of dictionaries/arrays
Oct 13      1800  2000     Cookie auth
Oct 13      0800  1800     Created templates for most key pages, setup raw functionality in showing pages etc.
Oct 12      2000  2400     Fully parses pages, needs more work in assigning variables (use a dictionary instead of just globalsgit add demplate.py
Oct 12      1800  2000     Database importer
Oct 10      2000  2400     work begins on templating engine - tokenizes pages
